"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Page Listing","0","Bulk Actions","5","0","","0"
"0","Page Editing","1","","6","0","","0"
"0","Page Editing","0","Element","2","0","Heading element","0"
"0","Page Editing","0","Save and Publish","6","0","","0"
"0","Page Editing","0","Element","2","0","Paragraph element","0"
"0","Page Editing","0","Editor helpers","5","0","","0"
"0","Page Editing","0","Element","1","0","Button element","0"
"0","Page Editing","0","Don't remind me again","6","0","","0"
"0","Page Editing","0","Element","1","0","Image element","0"
"0","Page Editing","0","Leave page","4","0","","0"
"0","Undo/Redo","0","Element","1","0","Layout","0"
"0","Page Editing","0","Inspector","18","0","","0"
"0","Page Editing","0","Editor settings","5","0","","0"
"0","Undo/Redo","2","Version history","0","0","","0"
"0","Page Listing","0","Page Actions","3","0","","0"
"0","Undo/Redo","0","Template page","3","0","","0"
"0","Page Editing","1","Screen size","1","0","","0"
"0","Page Editing","0","Element","2","0","Layout element","0"
"0","Page Listing","0","Save and Publish","1","0","","0"
"0","Sample Test","0","Sample Test Feature","1","0","","0"
