"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61836","TC-019: User select option ""Don't remind me again"" in the modal ""Publish page"" for PRODUCT page","Default Suite","Tue Jun 25 06:44:15 GMT 2024","passed","Tue Jun 25 06:45:16 GMT 2024","org.pftest.projects.testcases.PageEditingTest","pfcompany","org.pftest.projects.testcases.PageEditingTest","dontRemindPublishProductPage"
"","13836","TC-071: User change window width to less than 1024px","V4.11.0 Acceptance Testing","Tue Jun 25 06:19:41 GMT 2024","passed","Tue Jun 25 06:19:55 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","changeWindowWidthToLessThan1024px"
"","12914","TC-118: User open live chat","Default Suite","Tue Jun 25 06:46:12 GMT 2024","passed","Tue Jun 25 06:46:25 GMT 2024","org.pftest.projects.testcases.PageEditingTest","pfcompany","org.pftest.projects.testcases.PageEditingTest","openLiveChat"
"","32397","TC-018: User import page in the Page listing screen","V4.11.5 Basic UAT","Tue Jun 25 07:00:15 GMT 2024","passed","Tue Jun 25 07:00:48 GMT 2024","org.pftest.projects.testcases.PageListingTest","Page Listing","org.pftest.projects.testcases.PageListingTest","importPageInThePageListingScreen"
"","49600","TC-019: User import page exported from the other's store","V4.11.5 Basic UAT","Tue Jun 25 07:01:25 GMT 2024","passed","Tue Jun 25 07:02:15 GMT 2024","org.pftest.projects.testcases.PageListingTest","Page Listing","org.pftest.projects.testcases.PageListingTest","importPageExportedFromOtherStore"
"","76709","TC-018:  User select option ""Don't remind me again"" in the modal ""Save page""","V4.11.0 Acceptance Testing","Tue Jun 25 06:10:17 GMT 2024","passed","Tue Jun 25 06:11:33 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","dontRemindSavePage"
"","15424","INS-007: Change text decoration of heading element and verify the text decoration value","Acceptance Testing (0)","Tue Jun 25 06:34:24 GMT 2024","passed","Tue Jun 25 06:34:39 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Inspector","org.pftest.projects.testcases.PageEditingTest","changeTextDecorationOfHeadingElement"
"","14539","TC-021: User back from editor to page listing screen by click Back button in the Editor header when page is not saved","V4.11.0 Acceptance Testing","Tue Jun 25 06:15:13 GMT 2024","passed","Tue Jun 25 06:15:28 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","backFromEditorToPageListingScreen_clickBackButton"
"","13747","TC-003: Open page editor by clicking Edit button in the Page Setting screen","V4.11.0 Acceptance Testing","Tue Jun 25 06:04:27 GMT 2024","passed","Tue Jun 25 06:04:40 GMT 2024","org.pftest.projects.testcases.PageEditingTest","Acceptance Testing - Page Editing","org.pftest.projects.testcases.PageEditingTest","openPageEditorByClickingEditButtonInPageListingScreen"
"","14530","TC-013: User unpublish page in the Page listing screen","V4.11.5 Basic UAT","Tue Jun 25 06:28:58 GMT 2024","passed","Tue Jun 25 06:29:12 GMT 2024","org.pftest.projects.testcases.PageListingTest","Page Listing","org.pftest.projects.testcases.PageListingTest","unpublishPageInThePageListingScreen"
